set_name,set_topic,set_id,order_index,word,pronunciation,part_of_speech,level,definition_vi,definition_en,synonyms,antonyms,example_sentence
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,0,play a role,,collocation,B1,"đóng vai trò, có ảnh hưởng đến cái gì",to have an effect or influence on something; to be involved in something,"contribute to, have an impact on",,"Technology plays a crucial role in modern education, helping students access information more easily."
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,1,provide insight,,collocation,B2,"cung cấp cái nhìn sâu sắc, giúp hiểu rõ hơn",to give a clear and deep understanding of something,"shed light on, clarify",,Recent studies provide insight into how climate change affects ocean ecosystems and marine life.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,2,reach a conclusion,,collocation,B1,"đi đến kết luận, rút ra kết luận",to arrive at a final decision or judgment after considering evidence,"draw a conclusion, come to a conclusion",,"After analyzing the data, researchers reached a conclusion that exercise improves mental health significantly."
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,3,have implications,,collocation,B2,"có hàm ý, có ảnh hưởng, có hệ quả",to have possible effects or consequences that are not directly stated,"have consequences, suggest",,The discovery of new renewable energy sources has significant implications for global environmental policy.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,4,draw a distinction,,collocation,B2,"phân biệt, làm rõ sự khác biệt",to show or explain the difference between two things,"differentiate, distinguish",,The author draws a distinction between traditional and digital marketing strategies in the report.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,5,shed light on,,collocation,B2,"làm sáng tỏ, giải thích rõ",to help explain or make something clearer and easier to understand,"clarify, elucidate",,The documentary sheds light on the historical factors that shaped modern society.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,6,raise awareness,,collocation,B1,"nâng cao nhận thức, tăng cảnh báo",to make people more informed or conscious about an issue,"increase understanding, promote knowledge",,Environmental campaigns raise awareness about plastic pollution and its effects on wildlife.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,7,take into account,,collocation,B1,"tính đến, xem xét, tính toán",to consider something as part of a decision or calculation,"consider, account for",,"When planning urban development, city officials must take into account the needs of local communities."
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,8,point out,,phrasal_verb,B1,"chỉ ra, nhấn mạnh, lưu ý",to direct attention to something; to mention something important,"highlight, emphasize",,The researcher points out that previous studies overlooked the psychological impact of social media.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,9,bring about,,phrasal_verb,B2,"gây ra, dẫn đến, tạo ra",to cause something to happen; to produce a result,"cause, lead to",,Technological innovations have brought about significant changes in how people communicate globally.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,10,account for,,phrasal_verb,B2,"giải thích, chiếm, đáp ứng",to explain the reason for something; to represent a particular amount or percentage,"explain, constitute",,Renewable energy sources now account for approximately 30% of the country's total electricity production.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,11,stem from,,phrasal_verb,B2,"bắt nguồn từ, xuất phát từ",to originate from; to have something as a cause or source,"originate from, arise from",,Many modern health problems stem from sedentary lifestyles and poor dietary habits.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,12,in light of,,connector,B2,"dựa trên, xét đến, với sự xem xét",considering; taking into account; because of new information,"given, considering",,"In light of recent economic data, policymakers are reconsidering their approach to inflation control."
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,13,by and large,,connector,B2,"nói chung, hầu như, phần lớn",in general; mostly; on the whole,"generally, mostly",,"By and large, students who study consistently perform better on standardized tests than those who cram."
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,14,it is worth noting,,collocation,B2,"đáng chú ý, cần lưu ý",it is important to mention or remember something,"notably, significantly",,It is worth noting that the survey included participants from diverse socioeconomic backgrounds.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,15,be conducive to,,collocation,B2,"thuận lợi cho, tạo điều kiện cho",to provide conditions that make something likely to happen or succeed,"promote, facilitate","hinder, obstruct",A quiet study environment is conducive to better concentration and academic performance.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,16,come to light,,collocation,B2,"bị phát hiện, được tiết lộ, nổi lên",to become known or discovered; to be revealed,"emerge, be revealed",remain hidden,New evidence about the historical event came to light after researchers examined previously classified documents.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,17,in the long run,,connector,B1,"về lâu dài, cuối cùng",over a long period of time; eventually; ultimately,"eventually, ultimately",in the short term,"Although the project is expensive now, it will save money in the long run through increased efficiency."
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,18,be at odds with,,collocation,B2,"mâu thuẫn với, không phù hợp với",to disagree with; to be in conflict with,"contradict, conflict with","align with, agree with",The government's new policy is at odds with environmental protection goals established in previous legislation.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,19,call into question,,collocation,B2,"đặt câu hỏi, nghi ngờ, thách thức",to make someone doubt or question the validity of something,"challenge, doubt","confirm, validate",The recent scandal calls into question the credibility of the institution and its leadership.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,20,be indicative of,,collocation,B2,"là dấu hiệu của, chỉ ra, phản ánh",to be a sign or indication of something; to suggest,"suggest, indicate",,The sharp decline in test scores is indicative of deeper problems within the education system.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,21,bear witness to,/beə ˈwɪtnəs tuː/,phrase,B2,"chứng kiến, làm bằng chứng cho; xác nhận sự tồn tại hoặc xảy ra của điều gì",to be evidence of something; to testify to the truth or existence of something,"testify to, attest to, confirm","deny, refute",The rapid growth of renewable energy projects bears witness to society's commitment to sustainability.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,22,cut across,/kʌt əˈkrɔːs/,phrase,B2,vượt qua ranh giới; cắt ngang qua; có ảnh hưởng đến nhiều lĩnh vực khác nhau,to go across something directly; to affect or apply to many different groups or areas,"transcend, span, traverse","separate, divide",Environmental concerns cut across political boundaries and unite people from different nations.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,23,fall short of,/fɔːl ʃɔːrt əv/,phrase,C1,không đạt được; không đủ; thất bại trong việc đạt mục tiêu,to fail to reach or achieve a required standard or goal,"fail to meet, miss, underperform","exceed, surpass",Many developing countries fall short of international education standards due to limited resources.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,24,give rise to,/ɡɪv raɪz tuː/,phrase,B2,"gây ra, sinh ra, dẫn đến; là nguyên nhân của",to cause something to happen or exist; to be the origin of,"cause, lead to, trigger","prevent, suppress",The industrial revolution gave rise to unprecedented technological advancement and social change.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,25,hold sway,/hoʊld sweɪ/,phrase,B2,có ảnh hưởng lớn; kiểm soát; thống trị,to have great influence or control over something or someone,"dominate, prevail, reign","yield, surrender",Traditional values still hold sway in many rural communities despite rapid urbanization.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,26,in the wake of,/ɪn ðə weɪk əv/,phrase,B2,ngay sau; theo sau; như một hệ quả của,as a result of something; immediately after something happens,"following, as a result of, in the aftermath of","before, prior to","In the wake of the pandemic, remote work became a standard practice in many industries."
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,27,lend credence to,/lend ˈkredəns tuː/,phrase,B2,làm cho có vẻ đáng tin cậy; hỗ trợ tính xác thực của,to make something seem more believable or trustworthy,"support, validate, substantiate","discredit, undermine",Recent scientific studies lend credence to the theory that climate change is accelerating.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,28,pave the way for,/peɪv ðə weɪ fər/,phrase,B2,mở đường cho; tạo điều kiện thuận lợi cho; chuẩn bị cho,to make it possible for something to happen; to prepare the conditions for,"facilitate, enable, prepare","obstruct, hinder",The invention of the internet paved the way for the digital revolution and global connectivity.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,29,run counter to,/rʌn ˈkaʊntər tuː/,phrase,B2,trái ngược với; mâu thuẫn với; đi ngược lại,to be in direct opposition to something; to contradict,"contradict, oppose, conflict with","align with, support",The government's new policy runs counter to environmental protection principles.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,30,set the stage for,/set ðə steɪdʒ fər/,phrase,B2,tạo điều kiện; chuẩn bị; làm tiền đề cho,to create conditions that make something possible or likely to happen,"prepare, facilitate, enable","prevent, obstruct",The economic reforms of the 1990s set the stage for Vietnam's rapid development.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,31,stand out,/stænd aʊt/,phrase,C1,nổi bật; trở nên đáng chú ý; khác biệt rõ ràng,to be noticeably different or better than others; to be conspicuous,"distinguish oneself, excel, be prominent","blend in, fade away",Her research on renewable energy stands out for its innovative approach and practical applications.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,32,strike a balance,/straɪk ə ˈbæləns/,phrase,B2,cân bằng; tìm sự cân bằng giữa hai điều,to find a middle ground between two opposing things; to achieve equilibrium,"find equilibrium, compromise, harmonize","extremism, imbalance",Sustainable development requires striking a balance between economic growth and environmental protection.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,33,take precedence over,/teɪk ˈpresɪdəns ˈoʊvər/,phrase,B2,ưu tiên hơn; có quyền ưu tiên; được xem là quan trọng hơn,to be considered more important than something else; to have priority,"outweigh, supersede, override","yield to, defer to","In crisis situations, public safety takes precedence over economic considerations."
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,34,turn a blind eye to,/tɜːrn ə blaɪnd aɪ tuː/,phrase,B2,làm ngơ; cố tình không nhìn thấy; bỏ qua,to deliberately ignore something; to pretend not to notice,"ignore, overlook, disregard","acknowledge, address",Governments cannot turn a blind eye to corruption if they want to build public trust.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,35,underscore,/ˌʌndərˈskɔːr/,verb,B2,nhấn mạnh; làm nổi bật; gạch dưới tầm quan trọng của,to emphasize or highlight the importance of something,"emphasize, highlight, stress","downplay, minimize",The recent report underscores the urgent need for climate action in developing nations.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,36,wield influence,/wiːld ˈɪnfluəns/,phrase,B2,sử dụng ảnh hưởng; có quyền lực; thao túng,to exercise power or control; to have significant impact,"exert power, exercise authority, command","surrender power, yield",International organizations wield considerable influence over global policy decisions.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,37,be fraught with,/bi frɔːt wɪð/,phrase,B2,đầy rẫy; chứa đầy; tràn ngập (thường là điều tiêu cực),"to be full of or filled with something, usually something undesirable","full of, laden with, rife with","free from, devoid of",The transition to a new economic system is fraught with challenges and uncertainties.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,38,hinge on,/hɪndʒ ɑːn/,phrase,B2,phụ thuộc vào; tùy thuộc vào; là yếu tố quyết định,to depend entirely on something; to be determined by,"depend on, rest on, turn on",be independent of,The success of the project hinges on securing adequate funding and skilled personnel.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,39,pivot on,/ˈpɪvət ɒn/,phrase,B2,"phụ thuộc vào, quay trục quanh; một vấn đề/quyết định chính yếu phụ thuộc vào điều gì",to depend critically on; to turn or rotate around a central point or issue,"depend on, hinge on, revolve around",be independent of,The success of the environmental policy pivots on whether governments can secure international cooperation.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,40,cast light on,/kɑːst laɪt ɒn/,phrase,B2,"làm sáng tỏ, giải thích; cung cấp thông tin giúp hiểu rõ hơn",to clarify or explain something; to provide information that helps understanding,"clarify, elucidate, illuminate","obscure, confuse",Recent archaeological discoveries cast light on the daily life of ancient civilizations.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,41,be rooted in,/bi ˈruːtɪd ɪn/,phrase,B2,"có nguồn gốc từ, bắt nguồn từ; có nền tảng sâu sắc trong",to have origins or foundations in; to be fundamentally based on,"originate from, stem from, derive from",be unrelated to,Many modern social conflicts are rooted in historical inequalities and unresolved tensions.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,42,compound the problem,/ˈkɒmpaʊnd ðə ˈprɒbləm/,phrase,B2,"làm tình huống trở nên tồi tệ hơn, làm phức tạp thêm vấn đề",to make a problem worse or more complicated,"aggravate, exacerbate, worsen","alleviate, mitigate",Lack of funding compounds the problem of inadequate healthcare in rural areas.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,43,undermine,/ˌʌndəˈmaɪn/,verb,B2,"làm suy yếu, phá hoại; xói mòn từng chút một",to weaken or damage something gradually; to erode confidence or authority,"weaken, sabotage, subvert","strengthen, reinforce",Misinformation on social media undermines public trust in scientific institutions.
Cụm Học Thuật Hay Gặp,Natural Word Partnerships,3c42d2d8-9060-5801-abcb-d786bca4d600,44,be at the forefront of,/bi æt ðə ˈfɔːfrʌnt əv/,phrase,B2,"đứng đầu, nằm ở vị trí tiên phong; dẫn đầu trong lĩnh vực nào đó",to be in the leading position; to be at the front of a movement or development,"lead, pioneer, spearhead","lag behind, trail",Nordic countries are at the forefront of renewable energy adoption in Europe.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,0,cognitive dissonance,/ˈkɒɡnɪtɪv ˈdɪsənəns/,phrase,C1,"Tình trạng không thoải mái khi có những niềm tin, giá trị hoặc hành động mâu thuẫn với nhau","Psychological discomfort experienced when holding conflicting beliefs, values, or attitudes simultaneously","mental conflict, psychological tension",cognitive harmony,The student experienced cognitive dissonance when his environmental values clashed with his preference for consuming single-use plastics daily.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,1,intrinsic motivation,/ɪnˈtrɪnsɪk ˌməʊtɪˈveɪʃən/,phrase,C1,"Động lực phát sinh từ bên trong, từ sự hứng thú hoặc đam mê với hoạt động đó",Internal drive to engage in activities for their own sake rather than for external rewards or recognition,"internal motivation, self-motivation",extrinsic motivation,Research demonstrates that students with intrinsic motivation for learning achieve superior academic outcomes compared to those driven solely by grades.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,2,attenuate,/əˈtenjueɪt/,v,C2,"Làm giảm nhẹ, làm suy yếu hoặc làm giảm cường độ của cảm xúc, triệu chứng hoặc ảnh hưởng","To reduce in force, effect, or intensity; to weaken or lessen the severity of something","diminish, mitigate",intensify,Cognitive-behavioral therapy can effectively attenuate symptoms of anxiety and depression through systematic exposure techniques and cognitive restructuring.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,3,proclivity,/prəˈklɪvɪti/,n,C2,Xu hướng tự nhiên hoặc thiên hướng mạnh mẽ của một người đối với một điều gì đó,"A natural inclination or tendency, especially towards something considered undesirable or harmful","predisposition, propensity",disinclination,Clinical psychologists often assess individuals' proclivities toward addictive behaviors to develop personalized intervention strategies and preventive measures.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,4,unconscious bias,/ʌnˈkɒnʃəs ˈbaɪəs/,phrase,C1,Những định kiến tiềm ẩn không được nhận thức mà chúng ta có đối với các nhóm người hoặc khái niệm,Prejudices or stereotypes that influence behavior and decision-making without conscious awareness or intention,"implicit bias, hidden prejudice",conscious awareness,Organizations implement diversity training programs to help employees recognize and mitigate unconscious bias in hiring decisions and workplace interactions.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,5,desensitize,/diːˈsensɪtaɪz/,v,C1,"Làm giảm hoặc mất đi sự nhạy cảm, phản ứng cảm xúc đối với một cái gì đó thường gây sốc","To reduce sensitivity to a stimulus, typically through repeated exposure, often concerning emotional or moral reactions","numb, acclimate",sensitize,"Exposure to excessive violence in media may desensitize adolescents to aggression, potentially affecting their empathetic responses to real-world harm."
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,6,catharsis,/kəˈθɑːrsɪs/,n,C2,"Việc giải phóng hay làm sạch những cảm xúc mạnh mẽ, đặc biệt là nỗi sợ hãi hoặc thương cảm","Emotional release and purification achieved through intense emotional experiences, often resulting in psychological relief and spiritual renewal","emotional release, purification",emotional suppression,Psychotherapists utilize cathartic techniques to help traumatized patients process repressed emotions and achieve psychological healing through controlled emotional expression.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,7,rumination,/ˌruːmɪˈneɪʃən/,n,C1,"Sự luyến tiếc, suy nghĩ đi suy nghĩ lại về những vấn đề tiêu cực hoặc những sai lầm của bản thân","The tendency to engage in repetitive, circular thinking about negative events, problems, or perceived failures","brooding, obsessive thinking",mindfulness,Excessive rumination about past failures significantly contributes to the development and persistence of depressive symptoms in vulnerable populations.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,8,behavioral modification,/bɪˈheɪvjərəl ˌmɒdɪfɪˈkeɪʃən/,phrase,C1,Phương pháp thay đổi hành vi bằng cách sử dụng các nguyên lý học tập và kỹ thuật tăng cường,Systematic application of learning principles to change undesirable behaviors or establish new adaptive patterns of conduct,"behavior change, habit modification",behavioral persistence,Behavioral modification programs utilizing positive reinforcement and token economy systems have demonstrated efficacy in reducing aggressive behavior in institutional settings.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,9,psychosomatic,/ˌsaɪkəʊsəˈmætɪk/,adj,C1,Liên quan đến sự tương tác giữa tâm lý và thể chất; các triệu chứng thể chất gây ra bởi yếu tố tâm lý,"Relating to physical symptoms or illnesses caused or exacerbated by psychological factors such as stress, anxiety, or emotional trauma","mind-body, psychogenic",organic,Patients presenting with psychosomatic disorders often manifest genuine physical symptoms rooted in psychological distress that require integrated medical and psychiatric intervention.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,10,attribution theory,/əˈtrɪbjuːʃən ˈθɪəri/,phrase,C1,Lý thuyết trong tâm lý học về cách con người giải thích nguyên nhân của hành vi của mình và người khác,"Psychological theory explaining how individuals interpret and assign causes to behaviors and outcomes, particularly distinguishing internal versus external factors","causal explanation, attribution bias",fatalism,"Attribution theory illuminates why individuals often attribute personal success to internal factors while blaming external circumstances for failures, demonstrating self-serving bias."
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,11,vulnerability,/ˌvʌlnərəˈbɪləti/,n,C1,"Tính dễ bị tổn thương; khả năng dễ bị ảnh hưởng bởi các yếu tố tâm lý, cảm xúc hoặc xã hội","The state of being susceptible to psychological harm, emotional distress, or negative external influences due to predisposing factors or circumstances","susceptibility, fragility",resilience,Adolescents experiencing elevated psychological vulnerability require comprehensive support systems to prevent development of mental health disorders during critical developmental periods.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,12,resilience,/rɪˈzɪliəns/,n,C1,"Khả năng phục hồi, vượt qua khó khăn hoặc thích nghi với áp lực, tổn thương tâm lý","The psychological capacity to adapt successfully to adversity, stress, or trauma while maintaining psychological well-being and functioning","adaptability, emotional strength",fragility,Building psychological resilience in children through secure attachment relationships and skill development enhances their capacity to navigate life challenges effectively.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,13,despondency,/dɪˈspɒndənsi/,n,C1,"Trạng thái mất hy vọng, chán nản sâu sắc; cảm giác tuyệt vọng và mất động lực",A state of deep discouragement and loss of hope; emotional despair characterized by hopelessness and loss of motivation,"despair, hopelessness",optimism,Chronic despondency and persistent hopelessness are core diagnostic criteria for major depressive disorder requiring immediate clinical intervention and therapeutic support.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,14,self-efficacy,/ˌself ɪˈfɪkəsi/,n,C1,Niềm tin của một người vào khả năng của mình để hoàn thành các nhiệm vụ và đạt được mục tiêu,Individual's belief in their capacity to execute behaviors necessary to produce specific outcomes and achieve personal goals,"self-confidence, personal agency",self-doubt,"Students with high self-efficacy demonstrate increased persistence, effort, and resilience when confronting academic challenges and setbacks in learning."
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,15,obfuscate,/ˈɒbfʌskeɪt/,v,C2,"Làm mù mờ, che giấu, làm khó hiểu; làm cho mục đích hoặc ý định thực sự không rõ ràng",To make something unclear or deliberately obscure; to conceal true motives or intentions through deceptive communication or evasion,"obscure, conceal",clarify,Individuals employing psychological defense mechanisms may unconsciously obfuscate their true feelings and motivations to protect themselves from emotional pain.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,16,vicarious learning,/vaɪˈkeəriəs ˈlɜːrnɪŋ/,phrase,C1,Học tập qua quan sát hành vi của người khác và hậu quả của những hành vi đó,Process of acquiring knowledge and behavioral patterns by observing others' actions and their consequences rather than direct experience,"observational learning, modeling",direct learning,Bandura's research demonstrated that children acquire aggressive behaviors through vicarious learning by observing violent models on television and in their immediate environment.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,17,amygdala hijack,/əˈmɪɡdələ ˈhaɪdʒæk/,phrase,C1,Hiện tượng não phản ứng lại mối đe dọa bằng phản xạ cảm xúc thay vì suy nghĩ lý trí,Neuropsychological phenomenon where the amygdala initiates emotional response to perceived threats before rational processing occurs,"emotional hijacking, fight-or-flight response",rational processing,Understanding amygdala hijack helps individuals recognize when fear-based emotional reactions override logical thinking during high-stress interpersonal conflicts.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,18,maladaptive coping,/ˌmæləˈdæptɪv ˈkəʊpɪŋ/,phrase,C1,Các chiến lược đối phó không hiệu quả hoặc có hại khi đối mặt với căng thẳng hoặc khó khăn,Unhealthy or counterproductive strategies used to manage stress and emotional distress that ultimately worsen psychological outcomes,"unhealthy coping, avoidance behavior",adaptive coping,Adolescents resorting to maladaptive coping mechanisms such as substance abuse or self-harm often require comprehensive trauma-informed treatment interventions and support.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,19,empathic accuracy,/emˈpæθɪk ˈækjərəsi/,phrase,C2,"Khả năng hiểu chính xác các cảm xúc, suy nghĩ và ý định của người khác","The capacity to accurately infer and understand another person's emotional states, thoughts, and intentions based on behavioral and contextual cues","emotional understanding, perspective-taking",emotional misunderstanding,"Therapists' empathic accuracy significantly correlates with treatment outcomes, as precise understanding of clients' internal experiences facilitates deeper therapeutic alliance and healing."
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,20,metacognition,/ˌmetəkɒɡˈnɪʃən/,noun,C1,"khả năng nhận thức về chính quá trình tư duy của bản thân; sự tự nhận thức về cách mình suy nghĩ, học tập và giải quyết vấn đề",awareness and understanding of one's own thought processes and cognitive strategies,"self-awareness, reflective thinking",unreflective thinking,Developing strong metacognition enables students to monitor their learning progress and adjust study strategies accordingly.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,21,anchoring bias,/ˈæŋkərɪŋ ˈbaɪəs/,collocation,C1,"xu hướng dựa quá nhiều vào thông tin đầu tiên (mỏi neo) khi đưa ra quyết định, làm cho các thông tin sau đó ít ảnh hưởng hơn",tendency to rely too heavily on an initial piece of information when making subsequent judgments,first impression effect,,Anchoring bias explains why the initial price of a product significantly influences consumers' perception of its value.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,22,hedonic adaptation,/hɪˈdɒnɪk ˌædəpˈteɪʃən/,collocation,C2,"hiện tượng con người nhanh chóng thích nghi với những thay đổi tích cực hoặc tiêu cực, trở lại mức độ hạnh phúc cơ bản ban đầu",tendency to return to a baseline level of happiness despite positive or negative life changes,"hedonic treadmill, adaptation level theory",,Hedonic adaptation suggests that lottery winners experience temporary euphoria before returning to their previous happiness levels.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,23,saliency bias,/səˈleɪənsi ˈbaɪəs/,collocation,C1,"xu hướng ghi nhớ và ưu tiên những sự kiện hoặc thông tin nổi bật, dễ nhớ hơn những thông tin ít gây chú ý",cognitive bias where memorable or emotionally striking information disproportionately influences judgment,availability heuristic,,Saliency bias causes people to overestimate the frequency of plane crashes because such incidents are widely publicized.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,24,ego depletion,/ˈiːɡoʊ dɪˈpliːʃən/,noun,C1,sự suy giảm khả năng tự kiểm soát và ý chí sau khi thực hiện các hoạt động đòi hỏi sự tập trung cao độ hoặc kiềm chế,reduced capacity for self-control and willpower following mentally demanding tasks,"willpower depletion, self-control fatigue",,Ego depletion theory explains why students struggle to maintain focus during late-night study sessions after a demanding day.
Tâm lý học & Hành vi con người,Psychology & Behavior,42f476df-71ac-5abf-aad1-9e48103a8943,25,implementation intention,/ˌɪmpləmenˈteɪʃən ɪnˈtenʃən/,collocation,C1,"kế hoạch cụ thể, chi tiết về cách và khi nào thực hiện một hành động nhằm tăng khả năng hoàn thành mục tiêu","specific plan detailing when, where, and how one will execute a desired behavior to achieve goals","action plan, behavioral contract",,Research shows that forming implementation intentions significantly increases the likelihood of habit formation and goal attainment.
